Event,CO Time Start,CO Time End
1,2023-06-23 21:00,2023-06-23 23:00
2,2023-06-24 15:00,2023-06-25 0:00
3,2023-06-25 19:00,2023-06-26 3:00
4,2023-06-27 18:00,2023-06-28 2:00
5,2023-06-30 23:00,2023-07-01 13:00
6,2023-07-01 17:00,2023-07-03 6:00
7,2023-07-05 17:00,2023-07-05 23:00
8,2023-07-08 7:00,2023-07-09 10:00
9,2023-07-12 15:00,2023-07-13 12:00
10,2023-07-13 12:00,2023-07-14 9:00
11,2023-07-14 15:00,2023-07-15 11:00
12,2023-07-21 6:00,2023-07-22 23:00
13,2023-07-23 3:00,2023-07-24 6:00
14,2023-07-25 4:00,2023-07-26 0:00
15,2023-07-30 20:00,2023-07-31 15:00
16,2023-08-01 8:00,2023-08-02 11:00
17,2023-08-02 11:00,2023-08-03 16:00
18,2023-08-04 2:00,2023-08-04 20:00
19,2023-08-05 9:00,2023-08-07 2:00
20,2023-08-08 22:00,2023-08-09 4:00
21,2023-08-10 11:00,2023-08-10 16:00
22,2023-08-11 19:00,2023-08-12 7:00
23,2023-08-12 12:00,2023-08-13 10:00
24,2023-08-14 2:00,2023-08-14 13:00
25,2023-08-14 21:00,2023-08-15 4:00
26,2023-08-16 5:00,2023-08-16 22:00
27,2023-08-18 0:00,2023-08-18 15:00
28,2023-08-21 20:00,2023-08-22 2:00
29,2023-08-22 18:00,2023-08-23 0:00
30,2023-08-23 18:00,2023-08-24 8:00
31,2023-08-25 9:00,2023-08-26 9:00
32,2023-08-26 17:00,2023-08-27 13:00
33,2023-08-27 17:00,2023-08-28 13:00
34,2023-08-31 16:00,2023-09-01 7:00
35,2023-09-02 2:00,2023-09-04 7:00
36,2023-09-04 17:00,2023-09-05 1:00
37,2023-09-06 15:00,2023-09-08 11:00
38,2023-09-09 20:00,2023-09-10 3:00
39,2023-09-10 8:00,2023-09-10 15:00
40,2023-09-12 11:00,2023-09-13 16:00
41,2023-09-13 18:00,2023-09-13 23:00
42,2023-09-14 17:00,2023-09-14 22:00
43,2023-09-14 22:00,2023-09-15 10:00
44,2023-09-16 9:00,2023-09-16 17:00
45,2023-09-17 16:00,2023-09-18 15:00
46,2023-09-19 21:00,2023-09-20 19:00
47,2023-09-21 5:00,2023-09-21 14:00
48,2023-09-22 1:00,2023-09-22 15:00
49,2023-09-25 9:00,2023-09-26 12:00
50,2023-09-26 23:00,2023-09-27 15:00
51,2023-09-27 17:00,2023-09-29 1:00
52,2023-09-29 16:00,2023-09-30 16:00
53,2023-09-30 23:00,2023-10-01 10:00
54,2023-10-02 0:00,2023-10-02 11:00
55,2023-10-03 2:00,2023-10-03 15:00
56,2023-10-03 18:00,2023-10-03 22:00
57,2023-10-16 15:00,2023-10-16 23:00
58,2023-10-17 7:00,2023-10-18 23:00
59,2023-11-01 12:00,2023-11-01 21:00
60,2023-11-08 2:00,2023-11-08 16:00
61,2023-11-11 11:00,2023-11-12 1:00
62,2023-11-17 17:00,2023-11-18 1:00
63,2023-11-18 6:00,2023-11-18 9:00
64,2023-11-18 16:00,2023-11-18 23:00
65,2023-11-19 6:00,2023-11-19 14:00
66,2023-11-19 15:00,2023-11-20 4:00
67,2023-12-04 17:00,2023-12-05 1:00
